X,responseid,age,sex_birth,gender_male,gender_female,gender_transm,gender_transf,gender_queernc,gender_nonbin,gender_selfID,race_black,race_ainaan,race_asian,race_his_temp,race_pi,race_mides,race_white,race_other,fincur,aca_impa,belong1,discrim,trans,cis
113,R_3kcB6okH6ewXXGm,19,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,0,1
114,R_2YlFE9N6gLARHZ1,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,3,1,0,1
116,R_RyjKhLUUkNXNLb3,18,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,5,6,0,1
117,R_2Tq4Vpqfn6bMP1m,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,3,4,1,0,1
118,R_1CIISawRzVWmwEc,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,2,1,0,1
119,R_afa9gDQuP61EoOB,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,2,1,0,1
120,R_1OSH3dG7f4Sk0bp,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,2,1,0,1
121,R_1d6rlSRiFNxYLBN,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,2,5,1,0,1
122,R_1OJFexI9FdQFNhV,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,4,1,0,1
123,R_1NnnFumGH3CfFr7,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,4,5,1,0,1
124,R_bDhJ63zmt0uRA5P,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,4,2,0,1
125,R_rfqhojroVohEBZ7,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,2,1,0,1
127,R_25TQL8Fy5yd9UIa,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,3,4,1,0,1
131,R_1ONSpWVXQ3TML2k,21,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,1,1,0,1
132,R_3dEbDKd8XCXtp9Q,71,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,0,1
133,R_2YX8uaNumWVoIYB,51,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,2,3,1,0,1
134,R_b3kWiaFHqQzkMzD,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,3,1,0,1
135,R_3gfR3ywODESsiop,21,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,6,1,0,1
136,R_1CpsDnzR3CwOniE,21,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,1,2,0,1
138,R_1jd2bTFHIFQ5361,30,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,3,2,0,1
139,R_DeL4Rnx8RCdJd5v,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,3,1,0,1
140,R_pzA55bLCUjH5hgB,19,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,3,1,0,1
142,R_38dbUkvnMhODuMh,22,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,4,1,0,1
143,R_2dfCLr7YzKSfgsO,19,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,6,1,0,1
145,R_3MFmCQrB23ByPUo,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,4,2,0,1
146,R_d4OlUpMqvUN8QRX,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,1,3,0,1
148,R_1dcNCMr64OULKUr,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,3,1,0,1
150,R_sNLNPWK0sk8UVlT,22,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,4,3,4,0,1
153,R_1KpBd2nr3h5AKV2,19,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,4,1,0,1
155,R_3m9rdy0pNRayH3c,23,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,6,1,0,1
156,R_9mlw9KfZHVRlXrP,18,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,2,1,0,1
157,R_322Ug9JyzC63rYV,18,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,5,1,0,1
158,R_cv70P3Qh0jGkl8d,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,2,1,0,1
159,R_3rHFGOfz0GapoKj,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,2,1,0,1
162,R_RK94ByIh3QeG8cp,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,1,0,1
163,R_1ODjHCWTIRDOfFU,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,3,2,0,1
165,R_OBFz3BcfZjwFjoZ,21,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,4,2,1,0,1
169,R_2xXH8bXXjKqoDcl,28,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,6,1,0,1
172,R_3j34jVYvnoGZQ28,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,5,1,0,1
174,R_2VeVoh35bLe0KbC,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,2,1,0,1
176,R_21olrFWYbmNlCJr,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,3,1,0,1
177,R_1hFHbq1Ue2Z7xCm,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,3,1,0,1
180,R_BxKCwnmv0JcRRnj,18,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,5,2,0,1
181,R_AAvSrPlgn2m1N7z,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,1,0,1
182,R_21ppc0BHycL7UKN,20,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,5,1,0,1
183,R_1Iz36tg2vb5UfYk,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,3,1,0,1
184,R_3G2RdkqsmV4IiiS,21,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,5,1,0,1
185,R_1itJ6oMf1FivFGU,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,3,1,0,1
186,R_1mwvaeKjuAMkLSM,22,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,3,1,0,1
188,R_3COElS5hZ5pWFcG,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,3,1,0,1
189,R_2YLLNK7hhiuDL44,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,2,1,0,1
190,R_tXp1vIxG9eD1SUx,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,4,2,0,1
192,R_2PiZk3YLqxCIy8l,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,1,2,1,0
193,R_2Y3M0Tpfgys7psC,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,6,1,0,1
194,R_3PYNUSNwIMAInYc,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,2,1,0,1
195,R_3qX6UvBqY7seYxv,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,4,2,0,1
196,R_6QiCY5gTWp9nClb,36,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,0,1
197,R_1OiVpONnTuQ7nQ9,61,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,4,1,0,1
199,R_1ILTA46iL08XzNn,23,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,4,5,0,1
200,R_2qDxETcVXmncHG5,19,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,0,1
201,R_3e7XkPy6l4SBGZn,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,4,1,3,0,1
202,R_3ERqHmsYNk4Deg9,30,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,3,1,0,1
203,R_3Eo6NbLSt4hxuEG,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,4,2,0,1
205,R_3CVssRuZjumxPvK,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,2,2,1,0,1
206,R_AHTip2WBSGlKXst,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,4,2,0,1
207,R_3dR21rvZkjqZspU,23,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,1,3,0,1
210,R_2ZCsPO8uDOiTpmE,21,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,2,1,0,1
211,R_21cQgaVjNKTNrIm,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,2,1,0,1
212,R_3kFIt6VuR5naU6D,18,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,5,1,0,1
213,R_1hLNmtLBJH9yz9c,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,1,0,1
215,R_BArMuFsGyg8IO4h,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,3,1,0,1
216,R_1IsIPizgPq3Ep0t,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,1,0,1
217,R_1Q4K1u0Oqdlk0xN,36,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,4,1,0
218,R_6R68YoEBMwMiCop,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,3,1,0,1
219,R_pRBBEWR2HoIkiGt,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,1,2,0,1
220,R_2dQIuF2JQzaOFDT,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,2,2,0,1
221,R_12JWBoiHRp4PL0m,29,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,4,1,0,1
223,R_3kAtquyrHnhToL3,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,2,4,2,0,1
224,R_3oHqhtAHKJIoWpe,23,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,4,1,0,1
226,R_2CCkZlZuRUYZCMR,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,2,1,0,1
227,R_1mOhfwyzb1DrsrK,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,4,4,0,1
228,R_21AHYhk21ZI56Pu,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,3,1,0,1
229,R_4Ni3y2jqIb4cn6x,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,1,1,0,1
231,R_3G6wZJClfGYTvWv,19,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,4,3,3,0,1
232,R_1rGisTuWg7P1nTs,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,2,2,1,0,1
235,R_yl4mQlWatwq5UZj,25,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,3,3,0,1
236,R_3qwVusBjSSKrUzK,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,1,1,0,1
239,R_6nv0oFY5xR6Ia0F,23,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,5,1,0,1
241,R_1rcYyHOzf4my5od,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,2,2,0,1
243,R_1gqAFFfVxERlOC0,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,1,2,0,1
244,R_2AR1RkuPqQrCvGE,22,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,2,1,0,1
249,R_2qs151tAYYUiEy0,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,1,2,0,1
250,R_qC370WianR6JLHP,20,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,0,1
253,R_ROVjpvL1uQDglfb,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,3,1,0,1
255,R_2D8hqQ1LSkIIXu2,19,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,4,3,1,0,1
256,R_2EnQR1EBcyQXSOY,22,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,4,2,0,1
257,R_3EGwgCZSrIWjjkp,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,1,1,0,1
258,R_PGR16RlmKM9UDzb,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,2,1,0,1
260,R_Bu1ER0Yri0HLW9z,23,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,1,1,0,1
